idCorsi;idTipoAttivita;idCorsoTemplate;NomeCorso;DataInizio;DataFine;Note;DurataLezioneMin;OraInizio;OraFine;CostoNettoLezione;CostoIvaLezione;CostoLordoLezione;IsAttivo
47;4;14;Nuoto Libero - Martedì - 13:15;NULL;NULL;;60;13:15:00;14:15:00;NULL;NULL;NULL;S
48;4;14;Nuoto Libero - Martedì - 21:30;NULL;NULL;non partito;60;21:30:00;22:30:00;NULL;NULL;NULL;S
47;4;15;Nuoto Libero - Mercoledì - 08:30;NULL;NULL;non partito;60;08:30:00;09:30:00;NULL;NULL;NULL;S
48;4;15;Nuoto Libero - Mercoledì - 19:00;NULL;NULL;;60;19:00:00;20:00:00;NULL;NULL;NULL;S
48;4;15;Nuoto Libero - Mercoledì - 20:00;NULL;NULL;non partito;60;20:00:00;21:00:00;NULL;NULL;NULL;S
48;4;15;Nuoto Libero - Mercoledì - 21:00;NULL;NULL;non partito;60;21:00:00;22:00:00;NULL;NULL;NULL;S
47;4;16;Nuoto Libero - Giovedì - 13:15;NULL;NULL;;60;13:15:00;14:15:00;NULL;NULL;NULL;S
47;4;17;Nuoto Libero - Venerdì - 13:15;NULL;NULL;;60;13:15:00;14:15:00;NULL;NULL;NULL;S
48;4;17;Nuoto Libero - Venerdì - 21:30;NULL;NULL;non partito;60;21:30:00;22:30:00;NULL;NULL;NULL;S
48;4;18;Nuoto Libero - Sabato - 19:00;NULL;NULL;;60;19:00:00;20:00:00;NULL;NULL;NULL;S
48;4;19;Nuoto Libero - Domenica - 09:00;NULL;NULL;non partito;60;09:00:00;10:00:00;NULL;NULL;NULL;S
48;4;19;Nuoto Libero - Domenica - 10:00;NULL;NULL;non partito;60;10:00:00;11:00:00;NULL;NULL;NULL;S
48;4;19;Nuoto Libero - Domenica - 11:00;NULL;NULL;non partito;60;11:00:00;12:00:00;NULL;NULL;NULL;S
48;4;19;Nuoto Libero - Domenica - 15:00;NULL;NULL;;60;15:00:00;16:00:00;NULL;NULL;NULL;S
48;4;19;Nuoto Libero - Domenica - 16:00;NULL;NULL;;60;16:00:00;17:00:00;NULL;NULL;NULL;S
48;4;19;Nuoto Libero - Domenica - 17:00;NULL;NULL;non partito;60;17:00:00;18:00:00;NULL;NULL;NULL;S
